,Timestamp,Kategori Anda,Kategori Umur Anda,CaRek Pilihan,Alasan Memilih CaRek,Harapan Anda
55,9/1/2019 14:31:36,Pegawai / Tendik,25 - 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),CaRek pilihan saya menjadi rektor ITB yang dapat menjadikan ITB tempat menimba ilmu yang semakin berkualitas
56,9/1/2019 14:32:02,Dosen,> 40 th,Suhono Harso Supangkat (STEI),Sesuai dengan kriteria kekinian (Rektor 4.0),
57,9/1/2019 14:35:47,Alumni,25 - 40 th,Mikrajuddin Abdullah (FMIPA-FI),Kapabilitas ybs utk memajukan riset dan industri RI,
58,9/1/2019 14:37:33,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri",
59,9/1/2019 14:37:37,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,ITB kelas dunia 
60,9/1/2019 14:38:42,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Kecerdasan dan keberanian utk kemajuan ITB,ITB melas dunia
61,9/1/2019 14:42:30,Umum,> 40 th,Acep Purqon (FMIPA-FI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,dapat memajukan ITB 
62,9/1/2019 14:42:43,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),ITB menjadi perguruan tinggi kelas dunia
63,9/1/2019 14:44:17,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,"Kepada Bapak/Ibu yang Terhormat.

Jika Bapak/Ibu nanti sudah terpilih jadi Rektor ITB, tolong buat ITB menjadi kampus ramah disabilitas serta terbuka terhadap keberagaman keyakinan, seksualitas, dan gender. Terima kasih atas perhatian Bapak/Ibu."
64,9/1/2019 14:44:49,Alumni,25 - 40 th,Khairurrijal (FMIPA-FI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,ITB Juara
65,9/1/2019 14:45:09,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),Semoga Acep menang
66,9/1/2019 14:45:13,Pegawai / Tendik,25 - 40 th,Mikrajuddin Abdullah (FMIPA-FI),Karakter kepemimpinan dan leadership,
